Product ID,Product Name,Product Category,Disc Price,Price
B0P0F001,5 step facial - Micro Detox,Facial Kit,211.86,250
B0P0F002,5 step facial - Aurum Glow,Facial Kit,211.86,250
B0P0F003,5 step facial - Radiance Revival,Facial Kit,233.05,275
B0P0F004,5 step facial - Derma Lumin,Facial Kit,233.05,275
B0P0F005,5 step facial - Cobalin B12,Facial Kit,211.86,250
B0P0F006,5 step facial - Mucin Glow,Facial Kit,233.05,275
B0P0F007,7 Step Facial - Acne Blast,Facial Kit,538.14,635
B0P0F008,7 Step Facial - Hydra Rich,Facial Kit,538.14,635
B0P0F009,7 Step Facial - Korean Glow,Facial Kit,538.14,635
B0P0F010,7 Step Facial - Marine Mud,Facial Kit,538.14,635
B0P0F011,7 Step Facial - Revital,Facial Kit,538.14,635
B0P0F012,7 Step Facial - Sea Boost,Facial Kit,538.14,635
B0P0F013,8 step Premium Facial - Bija Green Tea,Facial Kit,771.19,910
B0P0F014,8 step Premium Facial - Jeju Cherry,Facial Kit,771.19,910
B0P0F015,8 step Premium Facial - Jelly Wine,Facial Kit,889.83,1050
B0P0F016,8 step Premium Facial - Kaolin Aloe,Facial Kit,771.19,910
B0P0F017,8 step Premium Facial - Purple Ginseng,Facial Kit,889.83,1050
B0P0F018,8 step Premium Facial - Snail Mucin,Facial Kit,889.83,1050
B0P0F019,9 step Premium Facial - Bija Green Tea,Facial Kit,974.58,1150
B0P0F020,9 step Premium Facial - Jeju Cherry,Facial Kit,974.58,1150
B0P0F021,9 step Premium Facial - Jelly Wine,Facial Kit,1016.95,1200
B0P0F022,9 step Premium Facial - Kaolin Aloe,Facial Kit,974.58,1150
B0P0F023,9 step Premium Facial - Purple Ginseng,Facial Kit,1016.95,1200
B0P0F024,9 step Premium Facial - Snail Mucin,Facial Kit,1016.95,1200
B0P0F025,4 Step Cleanup - Gold Sheen,Facial Kit,168.64,199
B0P0F026,4 Step Cleanup - Aqua Splash,Facial Kit,168.64,199
B0P0F027,4 Step Cleanup - Pearl Wonder,Facial Kit,168.64,199
B0P0F028,4 Step Cleanup - Acne Heel,Facial Kit,168.64,199
B0P0F029,4 Step Cleanup - Professional Depigmentation,Facial Kit,168.64,199
B0P0F030,4 Step Cleanup - Radiat Youth,Facial Kit,168.64,199
B0P0M001,4 Step Pedicure - Lemon Tango,Mani-Pedi Kit,109.32,129
B0P0M002,4 Step Pedicure - Zero Tan,Mani-Pedi Kit,109.32,129
B0P0M003,4 Step Pedicure - Hydra Splash,Mani-Pedi Kit,109.32,129
B0P0M004,4 Step Pedicure - Rosemary mint,Mani-Pedi Kit,109.32,129
B0P0M005,4 Step Pedicure - Purple Passion,Mani-Pedi Kit,109.32,129
B0P0M006,4 Step Pedicure - Pumpkin Spice,Mani-Pedi Kit,109.32,129
B0P0M007,7 step Pedicure - citrus mani pedi,Mani-Pedi Kit,233.05,275
B0P0M008,7 step Pedicure - sea pearl,Mani-Pedi Kit,233.05,275
B0P0M009,7 step Pedicure - turkish rose,Mani-Pedi Kit,233.05,275
B0P0A001,7 Step Salon Pack - Bride to be,7 Steps Salon Pack,2457.63,2900
B0P0A002,7 Step Salon Pack - H2O,7 Steps Salon Pack,1864.41,2200
B0P0A003,7 Step Salon Pack - Pure Skin,7 Steps Salon Pack,1991.53,2350
B0P0A004,7 Step Salon Pack - Time Revesal,7 Steps Salon Pack,2203.39,2600
B0P0B001,MOLD MASK - 24 K GOLD,Mould Mask,288.14,340
B0P0B002,MOLD MASK - BERRY BLAST,Mould Mask,288.14,340
B0P0B003,MOLD MASK - COLLEGEN + ELASTIN,Mould Mask,288.14,340
B0P0B004,MOLD MASK - KOREAN RICE WATER,Mould Mask,288.14,340
B0P0B005,MOLD MASK - TEA TREE + ALOE,Mould Mask,288.14,340
B0P0B006,MOLD MASK - VIT. C + KOJIC,Mould Mask,288.14,340
B0P0S001,De Tan Jar - 300 gms,Salon Jars Range,720.34,850
B0P0S002,Avocado Massage Cream - 300 gms,Salon Jars Range,550.85,650
B0P0S003,Avocado Sugar Scrub - 300 gms,Salon Jars Range,805.08,950
B0P0S004,Avocado Cleansing Lotion - 300 gms,Salon Jars Range,550.85,650
B0P0S005,Avocado Clay Face Pack - 300 gms,Salon Jars Range,572.03,675
B0P0S006,Beetroot Gel Scrub - 300 gms,Salon Jars Range,572.03,675
B0P0S007,Beetroot Gel Cleanser - 300 gms,Salon Jars Range,550.85,650
B0P0S008,Beetroot Face Pack - 300 gms,Salon Jars Range,572.03,675
B0P0S009,Beetroot Massage Gel - 300 gms,Salon Jars Range,572.03,675
B0P0K001,Korean Glow Gel Cleanser - 300 gms,Korean Jar Range,716.10,845
B0P0K002,Korean Glow Gel Scrub - 300 gms,Korean Jar Range,953.39,1125
B0P0K003,Korean Glow Face Pack - 300 gms,Korean Jar Range,911.02,1075
B0P0K004,Korean Glow Massage Gel - 300 gms,Korean Jar Range,889.83,1050
B0P0K005,Korean Glow Cleansing Lotion - 300 gms,Korean Jar Range,974.58,1150
B0P0K006,Korean Glow Sugar Scrub - 300 gms,Korean Jar Range,1228.81,1450
B0P0K007,Korean Glow Massage Cream - 300 gms,Korean Jar Range,1313.56,1550
B0P0K008,Korean Glow Clay Face Pack - 300 gms,Korean Jar Range,1250.00,1475
B0P0W001,Lipo Wax - Shear - Korean Glow,Advance Lipo Wax,1101.69,1300
B0P0W002,Lipo Wax - Shear - Turmeric,Advance Lipo Wax,1101.69,1300
B0P0W003,Lipo Wax - Shear - Aloe Rose,Advance Lipo Wax,932.20,1100
B0P0W004,Lipo Wax - Shear - White Chocolate,Advance Lipo Wax,932.20,1100
B0P0C001,5 step Coctail Pedicure - Americano,Cocktail Range,334.75,395
B0P0C002,5 step Coctail Pedicure - French 75,Cocktail Range,334.75,395
B0P0C003,5 step Coctail Pedicure - Mai Tai,Cocktail Range,334.75,395
B0P0C004,5 step Coctail Pedicure - Palmer,Cocktail Range,334.75,395
B0P0C005,5 step Coctail Pedicure - Paloma,Cocktail Range,334.75,395
B0P0C006,5 step Coctail Pedicure - Sangria,Cocktail Range,334.75,395
B0P0C007,6 step coctail facial - Black Berry,Cocktail Range,572.03,675
B0P0C008,6 step coctail facial - Gaelic,Cocktail Range,572.03,675
B0P0C009,6 step coctail facial - Gimlet,Cocktail Range,572.03,675
B0P0C010,6 step coctail facial - Matcha,Cocktail Range,572.03,675
B0P0C011,6 step coctail facial - Monarch,Cocktail Range,572.03,675
B0P0C012,6 step coctail facial - Negroni,Cocktail Range,572.03,675
B0P0P001,Spice & Sugar Body Polishing Kit,Body Polishing Kit,1440.68,1700
B0P0H001,Korean Hair Elixir,Korean Hair Oil,360.17,425
B0P0H002,Korean Hair Oil,Korean Hair Oil,402.54,475
B0P0D005,Pre Wax,Advance Lipo Wax,105.93,125
B0P0D006,Post Oil,Advance Lipo Wax,105.93,125
B0P0S010,De Tan - 60 gms,Salon Jars Range,233.05,275